Title,Recruiter,Salary,Location,Role Type,Job Type
Data Manager,Sanderson,Competitive salary,Glasgow,"Contract, full-time",Work from home
Data Engineer,Lorien,Salary not specified,Edinburgh,"Contract, full-time",
Data Consultant,Hays Specialist Recruitment Limited,"£50,000 - £60,000 per annum",Glasgow,"Permanent, full-time",
Data Scientist,BMC Recruitment Group,Salary negotiable,Edinburgh,"Permanent, full-time",
Data Engineer,Nigel Frank International,"£40,000 - £55,000 per annum",Edinburgh,"Permanent, full-time",
Data Analyst,Reed Talent Solutions,Salary not specified,Edinburgh,"Permanent, full-time",Work from home
Data Scientist,Cathcart Technology,"£55,000 - £65,000 per annum",Glasgow,"Permanent, full-time",
Data Consultant,Morgan Philips Specialist Recruitment,Salary negotiable,Glasgow,"Permanent, full-time",
Data Analyst,Prime Workforce,"£26,000 - £28,000 per annum",Glasgow,"Permanent, full-time",
Data Co-Ordinator,Finlay Jude Associates Limited,Salary negotiable,Bellshill Industrial Estate,"Permanent, full-time",
Data Co-Ordinator,Finlay Jude Associates Limited,"£20,000 - £23,000 per annum",Bellshill Industrial Estate,"Permanent, full-time",
Data Protection Specialist,Cathcart Technology,"£44,000 - £45,000 per annum, OTE, negotiable",Edinburgh,"Permanent, full-time",
Senior Data Engineer,Jefferson Frank,"£65,000 - £75,000 per annum",Edinburgh,"Permanent, full-time",Work from home
Azure Data Architect,Nigel Frank International,"£75,000 - £90,000 per annum",Glasgow,"Permanent, full-time",
Senior Data Analyst,Forsyth Barnes,"£55,000 - £70,000 per annum",Edinburgh,"Permanent, full-time",
Data Quality Analyst,Lorien,Salary negotiable,Glasgow,"Contract, full-time",
Data Migration Lead,Lorien,Salary negotiable,Edinburgh,"Contract, full-time",
Data Entry Administrator,Reed,"£12 per hour, inc benefits",Penicuik,"Temporary, full-time",
Lead Data Engineer,Cathcart Technology,"£75,000 - £85,000 per annum",Edinburgh,"Permanent, full-time",
Data Reporting Specialist,Sanderson,Competitive salary,Edinburgh,"Contract, full-time",Work from home
Senior Data Engineer,Cathcart Technology,"£60,000 - £65,000 per annum",Edinburgh,"Permanent, full-time",
Azure Data Architect,Nigel Frank International,"£75,000 - £90,000 per annum",Edinburgh,"Permanent, full-time",
Senior Data Analyst,Henderson Scott,"£50,000 - £70,000 per annum",Edinburgh,"Permanent, full-time",
Head Of Data Engineering,Reed Talent Solutions,"£56,409 - £71,531 per annum",Edinburgh,"Permanent, full-time",
Temporary Data Administrator AB15,Office Angels,£12 per hour,Aberdeen,"Temporary, part-time",
